PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN,localidad,latitud,longitud
QV2M,2024,12.42,13.49,13.54,13.67,14.32,13.51,13.01,12.39,12.52,13.1,13.66,13.68,13.27,Rafael Uribe Uribe,4.59028,-74.08473
RH2M,2020,79.68,76.77,80.22,79.98,78.76,79.16,78.15,77.94,76.04,72.36,81.53,74.79,77.94,Rafael Uribe Uribe,4.59028,-74.08473
RH2M,2021,73.39,74.45,79.49,79.32,78.49,79.13,75.01,73.34,72.27,76.91,77.9,76.74,76.38,Rafael Uribe Uribe,4.59028,-74.08473
RH2M,2022,71.83,75.21,81.54,81.47,80.97,81.94,79.52,77.79,78.1,83.25,87.01,82.2,80.09,Rafael Uribe Uribe,4.59028,-74.08473
RH2M,2023,82.16,78.37,84.32,83.93,81.59,79.4,78.49,76.52,75.41,80.4,81.35,80.68,80.24,Rafael Uribe Uribe,4.59028,-74.08473
RH2M,2024,71.83,74.4,71.98,76.39,82.57,81.56,80.19,75.88,73.35,77.96,84.71,82.06,77.74,Rafael Uribe Uribe,4.59028,-74.08473
GWETPROF,2020,0.73,0.68,0.68,0.68,0.69,0.74,0.75,0.72,0.71,0.65,0.63,0.59,0.69,Rafael Uribe Uribe,4.59028,-74.08473
GWETPROF,2021,0.62,0.6,0.61,0.64,0.63,0.63,0.63,0.59,0.57,0.56,0.56,0.54,0.6,Rafael Uribe Uribe,4.59028,-74.08473
GWETPROF,2022,0.51,0.51,0.58,0.65,0.74,0.79,0.79,0.8,0.76,0.78,0.83,0.81,0.71,Rafael Uribe Uribe,4.59028,-74.08473
GWETPROF,2023,0.8,0.76,0.76,0.8,0.82,0.82,0.8,0.75,0.71,0.72,0.75,0.72,0.77,Rafael Uribe Uribe,4.59028,-74.08473
GWETPROF,2024,0.68,0.61,0.56,0.58,0.71,0.79,0.8,0.73,0.65,0.65,0.7,0.7,0.68,Rafael Uribe Uribe,4.59028,-74.08473
GWETROOT,2020,0.66,0.62,0.63,0.63,0.64,0.72,0.71,0.67,0.66,0.59,0.59,0.54,0.64,Rafael Uribe Uribe,4.59028,-74.08473
GWETROOT,2021,0.58,0.56,0.57,0.61,0.57,0.6,0.57,0.54,0.54,0.52,0.53,0.5,0.56,Rafael Uribe Uribe,4.59028,-74.08473
GWETROOT,2022,0.48,0.49,0.57,0.62,0.71,0.75,0.74,0.75,0.7,0.74,0.78,0.74,0.67,Rafael Uribe Uribe,4.59028,-74.08473
GWETROOT,2023,0.74,0.69,0.71,0.74,0.76,0.76,0.74,0.69,0.65,0.68,0.71,0.66,0.71,Rafael Uribe Uribe,4.59028,-74.08473
GWETROOT,2024,0.61,0.56,0.51,0.56,0.7,0.75,0.74,0.66,0.59,0.61,0.67,0.65,0.63,Rafael Uribe Uribe,4.59028,-74.08473
GWETTOP,2020,0.67,0.64,0.65,0.66,0.65,0.73,0.71,0.68,0.67,0.6,0.61,0.57,0.65,Rafael Uribe Uribe,4.59028,-74.08473
GWETTOP,2021,0.61,0.58,0.6,0.64,0.59,0.64,0.59,0.56,0.56,0.55,0.55,0.53,0.58,Rafael Uribe Uribe,4.59028,-74.08473
GWETTOP,2022,0.5,0.53,0.61,0.66,0.73,0.75,0.74,0.75,0.71,0.74,0.77,0.74,0.69,Rafael Uribe Uribe,4.59028,-74.08473
GWETTOP,2023,0.75,0.7,0.72,0.75,0.76,0.76,0.74,0.7,0.66,0.7,0.72,0.68,0.72,Rafael Uribe Uribe,4.59028,-74.08473
GWETTOP,2024,0.61,0.58,0.53,0.61,0.72,0.75,0.74,0.67,0.61,0.64,0.69,0.67,0.65,Rafael Uribe Uribe,4.59028,-74.08473
ALLSKY_SFC_LW_DWN,2020,31.45,31.78,32.74,32.62,32.56,31.87,31.94,32.02,32.2,32.19,32.21,32.08,32.14,Rafael Uribe Uribe,4.59028,-74.08473
ALLSKY_SFC_LW_DWN,2021,31.83,33.35,33.06,32.29,32.28,31.9,31.94,32.09,31.99,32.28,31.96,32.3,32.27,Rafael Uribe Uribe,4.59028,-74.08473
ALLSKY_SFC_LW_DWN,2022,31.9,32.56,32.51,33.42,32.98,32.95,32.91,32.53,33.11,33.09,33.04,32.59,32.8,Rafael Uribe Uribe,4.59028,-74.08473
ALLSKY_SFC_LW_DWN,2023,32.45,32.87,33.71,33.32,33.15,32.73,33.16,33.11,33.52,33.66,33.53,33.61,33.24,Rafael Uribe Uribe,4.59028,-74.08473
ALLSKY_SFC_LW_DWN,2024,32.78,34.25,34.67,34.04,33.94,33.44,33.04,33.09,33.66,33.33,33.5,33.62,33.61,Rafael Uribe Uribe,4.59028,-74.08473
T2M,2020,18.85,19.27,19.38,19.68,19.65,18.53,18.29,18.79,18.95,19.17,18.61,19.32,19.04,Rafael Uribe Uribe,4.59028,-74.08473
T2M,2021,18.84,19.62,18.69,19.2,19.16,18.36,18.63,19.18,19.14,19.62,19.26,19.74,19.12,Rafael Uribe Uribe,4.59028,-74.08473
T2M,2022,19.45,19.29,18.86,18.88,18.72,17.94,18.19,18.12,18.67,18.32,17.98,18.0,18.53,Rafael Uribe Uribe,4.59028,-74.08473
T2M,2023,17.54,18.75,18.51,18.6,19.26,18.43,18.77,18.87,19.59,19.39,19.18,19.54,18.87,Rafael Uribe Uribe,4.59028,-74.08473
T2M,2024,20.02,20.72,21.39,20.54,19.73,19.02,18.71,18.97,19.77,19.45,18.59,19.18,19.67,Rafael Uribe Uribe,4.59028,-74.08473
T2MDEW,2020,14.76,14.47,15.39,15.67,15.42,14.43,14.01,14.38,14.09,13.49,15.07,14.2,14.61,Rafael Uribe Uribe,4.59028,-74.08473
T2MDEW,2021,13.4,14.46,14.67,15.09,14.92,14.26,13.64,13.72,13.41,14.92,14.87,15.04,14.37,Rafael Uribe Uribe,4.59028,-74.08473
T2MDEW,2022,13.6,14.2,15.19,15.18,14.99,14.45,14.2,13.75,14.27,15.05,15.5,14.47,14.57,Rafael Uribe Uribe,4.59028,-74.08473
T2MDEW,2023,13.99,14.34,15.44,15.48,15.67,14.43,14.57,14.12,14.57,15.44,15.49,15.72,14.94,Rafael Uribe Uribe,4.59028,-74.08473
T2MDEW,2024,14.12,15.45,15.51,15.61,16.34,15.43,14.87,14.12,14.27,14.94,15.61,15.64,15.16,Rafael Uribe Uribe,4.59028,-74.08473
T2MWET,2020,16.8,16.87,17.39,17.68,17.53,16.48,16.15,16.58,16.52,16.33,16.84,16.76,16.83,Rafael Uribe Uribe,4.59028,-74.08473
T2MWET,2021,16.12,17.04,16.68,17.15,17.04,16.31,16.13,16.45,16.28,17.27,17.06,17.39,16.74,Rafael Uribe Uribe,4.59028,-74.08473
T2MWET,2022,16.53,16.74,17.03,17.03,16.85,16.2,16.2,15.93,16.47,16.69,16.74,16.23,16.55,Rafael Uribe Uribe,4.59028,-74.08473
T2MWET,2023,15.77,16.55,16.98,17.04,17.47,16.43,16.67,16.5,17.08,17.41,17.33,17.63,16.91,Rafael Uribe Uribe,4.59028,-74.08473
T2MWET,2024,17.07,18.08,18.45,18.07,18.04,17.23,16.79,16.54,17.02,17.19,17.1,17.41,17.41,Rafael Uribe Uribe,4.59028,-74.08473
T2M_MAX,2020,26.58,27.51,26.82,26.58,26.27,25.02,24.53,26.09,26.73,26.6,24.77,26.92,27.51,Rafael Uribe Uribe,4.59028,-74.08473
T2M_MAX,2021,27.08,27.27,25.93,26.46,26.23,25.12,25.32,26.83,26.85,27.57,26.3,27.01,27.57,Rafael Uribe Uribe,4.59028,-74.08473
T2M_MAX,2022,28.56,27.9,25.86,26.24,25.8,24.11,24.54,25.18,25.53,24.88,24.74,24.76,28.56,Rafael Uribe Uribe,4.59028,-74.08473
T2M_MAX,2023,24.68,25.64,26.01,25.57,25.85,24.73,25.14,25.79,26.81,26.32,25.84,26.56,26.81,Rafael Uribe Uribe,4.59028,-74.08473
T2M_MAX,2024,27.96,28.88,29.36,29.24,26.51,24.96,24.91,26.01,27.34,26.84,25.61,26.08,29.36,Rafael Uribe Uribe,4.59028,-74.08473
T2M_MIN,2020,10.2,9.69,11.04,14.27,12.95,11.82,11.15,11.78,11.65,12.01,13.94,11.88,9.69,Rafael Uribe Uribe,4.59028,-74.08473
T2M_MIN,2021,10.89,14.18,14.33,12.93,13.22,10.87,11.48,12.24,11.98,13.49,13.88,14.6,10.87,Rafael Uribe Uribe,4.59028,-74.08473
T2M_MIN,2022,13.78,13.01,13.81,13.69,12.94,12.19,11.41,11.63,12.09,11.69,13.14,11.9,11.41,Rafael Uribe Uribe,4.59028,-74.08473
T2M_MIN,2023,9.61,10.98,13.12,13.04,12.88,12.03,12.17,10.74,11.72,12.14,13.28,13.31,9.61,Rafael Uribe Uribe,4.59028,-74.08473
T2M_MIN,2024,11.76,14.81,15.26,14.11,14.52,12.36,11.93,11.05,11.8,12.45,12.36,14.1,11.05,Rafael Uribe Uribe,4.59028,-74.08473
T2M_RANGE,2020,10.22,10.7,9.4,9.0,9.52,9.77,9.93,10.06,10.45,11.0,7.54,9.45,9.75,Rafael Uribe Uribe,4.59028,-74.08473
T2M_RANGE,2021,10.77,9.61,8.18,8.76,8.87,9.32,10.41,10.67,11.14,9.49,8.74,9.16,9.59,Rafael Uribe Uribe,4.59028,-74.08473
T2M_RANGE,2022,10.31,9.15,8.5,9.08,9.16,8.81,9.82,10.1,9.89,8.55,7.57,9.17,9.18,Rafael Uribe Uribe,4.59028,-74.08473
T2M_RANGE,2023,8.91,10.06,7.91,7.87,9.01,10.05,9.85,11.13,11.34,9.34,8.58,8.84,9.4,Rafael Uribe Uribe,4.59028,-74.08473
T2M_RANGE,2024,11.66,10.06,10.08,9.56,8.28,9.05,9.51,10.98,10.99,9.91,8.17,8.6,9.74,Rafael Uribe Uribe,4.59028,-74.08473
TS,2020,18.97,19.51,19.7,19.97,19.81,18.57,18.29,18.93,19.13,19.5,18.79,19.53,19.22,Rafael Uribe Uribe,4.59028,-74.08473
TS,2021,18.93,20.04,19.09,19.49,19.46,18.48,18.81,19.71,19.64,20.15,19.61,20.25,19.47,Rafael Uribe Uribe,4.59028,-74.08473
TS,2022,20.15,19.95,19.31,19.29,18.82,18.04,18.23,18.17,18.83,18.53,18.2,18.14,18.8,Rafael Uribe Uribe,4.59028,-74.08473
TS,2023,17.69,19.07,18.86,18.79,19.25,18.31,18.66,18.91,19.74,19.55,19.13,19.49,18.95,Rafael Uribe Uribe,4.59028,-74.08473
TS,2024,20.17,21.21,22.03,20.96,19.75,19.01,18.72,19.05,19.92,19.6,18.64,19.29,19.86,Rafael Uribe Uribe,4.59028,-74.08473
PS,2020,82.34,82.33,82.35,82.39,82.4,82.4,82.36,82.36,82.34,82.29,82.29,82.25,82.34,Rafael Uribe Uribe,4.59028,-74.08473
PS,2021,82.22,82.23,82.26,82.28,82.38,82.42,82.43,82.4,82.39,82.32,82.27,82.24,82.32,Rafael Uribe Uribe,4.59028,-74.08473
PS,2022,82.28,82.24,82.27,82.28,82.39,82.38,82.39,82.38,82.36,82.34,82.31,82.26,82.32,Rafael Uribe Uribe,4.59028,-74.08473
PS,2023,82.34,82.28,82.33,82.3,82.37,82.4,82.41,82.39,82.33,82.33,82.28,82.27,82.34,Rafael Uribe Uribe,4.59028,-74.08473
PS,2024,82.35,82.35,82.34,82.33,82.36,82.41,82.42,82.44,82.34,82.35,82.28,82.27,82.35,Rafael Uribe Uribe,4.59028,-74.08473
WD10M,2020,70.7,85.7,55.8,100.5,116.4,114.7,123.8,125.1,123.0,117.4,15.6,55.3,99.8,Rafael Uribe Uribe,4.59028,-74.08473
WD10M,2021,90.7,74.7,69.2,124.9,120.2,122.4,127.4,130.9,128.8,95.0,41.5,49.3,105.5,Rafael Uribe Uribe,4.59028,-74.08473
WD10M,2022,62.4,68.6,52.4,113.8,129.3,127.6,118.0,130.1,126.1,60.3,5.2,55.0,97.6,Rafael Uribe Uribe,4.59028,-74.08473
WD10M,2023,59.0,90.0,55.1,128.2,128.7,130.0,121.1,120.9,118.1,113.3,101.1,81.6,111.5,Rafael Uribe Uribe,4.59028,-74.08473
WD10M,2024,92.1,80.0,85.5,100.4,131.3,122.6,136.6,123.4,124.4,108.8,42.9,59.4,107.4,Rafael Uribe Uribe,4.59028,-74.08473
WD2M,2020,71.0,86.6,53.2,103.3,118.3,115.8,125.3,127.7,128.0,121.3,359.5,51.3,101.9,Rafael Uribe Uribe,4.59028,-74.08473
WD2M,2021,91.7,73.7,65.4,128.0,122.8,123.4,127.5,132.0,130.3,96.4,38.8,47.0,106.9,Rafael Uribe Uribe,4.59028,-74.08473
WD2M,2022,60.8,66.2,45.8,117.1,132.1,131.6,120.0,132.8,130.7,56.1,357.1,51.7,99.3,Rafael Uribe Uribe,4.59028,-74.08473
WD2M,2023,56.8,91.7,51.4,142.2,131.9,130.8,121.7,122.5,120.3,120.4,102.8,81.6,114.0,Rafael Uribe Uribe,4.59028,-74.08473
WD2M,2024,92.7,79.6,86.5,101.7,134.9,124.7,137.2,125.2,126.9,112.1,38.1,57.1,109.3,Rafael Uribe Uribe,4.59028,-74.08473
WS10M,2020,2.37,2.18,1.69,1.41,1.84,1.99,1.82,1.77,1.82,2.02,1.29,1.41,1.8,Rafael Uribe Uribe,4.59028,-74.08473
WS10M,2021,1.77,1.64,1.45,1.47,1.8,1.74,2.52,1.93,1.98,1.32,1.4,1.63,1.72,Rafael Uribe Uribe,4.59028,-74.08473
WS10M,2022,1.84,1.42,1.4,1.54,1.58,1.47,1.82,1.93,1.59,1.65,1.53,1.54,1.61,Rafael Uribe Uribe,4.59028,-74.08473
WS10M,2023,1.57,1.61,1.37,1.41,1.77,2.54,2.69,2.56,2.3,1.49,1.61,1.66,1.88,Rafael Uribe Uribe,4.59028,-74.08473
WS10M,2024,2.22,1.9,1.77,1.55,1.54,1.8,2.32,2.32,2.25,1.81,1.57,1.47,1.88,Rafael Uribe Uribe,4.59028,-74.08473
WS10M_MAX,2020,7.21,6.09,5.28,4.47,4.77,6.05,4.8,4.73,4.73,4.57,4.71,4.41,7.21,Rafael Uribe Uribe,4.59028,-74.08473
WS10M_MAX,2021,5.04,4.4,4.02,4.53,5.98,6.13,8.22,6.48,6.1,4.06,3.84,4.16,8.22,Rafael Uribe Uribe,4.59028,-74.08473
WS10M_MAX,2022,4.95,3.7,4.06,5.88,5.72,4.03,5.42,4.7,5.07,4.93,5.73,5.43,5.88,Rafael Uribe Uribe,4.59028,-74.08473
WS10M_MAX,2023,4.86,4.78,4.0,4.15,4.91,6.07,6.68,6.53,6.15,3.55,4.4,5.6,6.68,Rafael Uribe Uribe,4.59028,-74.08473
WS10M_MAX,2024,6.69,5.63,6.32,5.01,3.63,4.82,6.53,5.17,6.39,7.23,4.37,3.5,7.23,Rafael Uribe Uribe,4.59028,-74.08473
WS10M_MIN,2020,0.33,0.08,0.1,0.14,0.08,0.06,0.12,0.13,0.04,0.06,0.04,0.06,0.04,Rafael Uribe Uribe,4.59028,-74.08473
WS10M_MIN,2021,0.11,0.08,0.04,0.04,0.09,0.06,0.04,0.14,0.19,0.03,0.12,0.07,0.03,Rafael Uribe Uribe,4.59028,-74.08473
WS10M_MIN,2022,0.12,0.05,0.04,0.1,0.01,0.11,0.17,0.12,0.08,0.12,0.06,0.12,0.01,Rafael Uribe Uribe,4.59028,-74.08473
WS10M_MIN,2023,0.05,0.14,0.02,0.1,0.04,0.04,0.27,0.05,0.08,0.04,0.11,0.07,0.02,Rafael Uribe Uribe,4.59028,-74.08473
WS10M_MIN,2024,0.06,0.16,0.14,0.09,0.06,0.15,0.27,0.19,0.18,0.03,0.09,0.07,0.03,Rafael Uribe Uribe,4.59028,-74.08473
WS10M_RANGE,2020,2.37,2.25,2.47,1.93,2.06,2.42,2.18,2.08,2.13,2.08,1.94,2.08,2.17,Rafael Uribe Uribe,4.59028,-74.08473
WS10M_RANGE,2021,2.1,2.3,2.12,2.4,2.39,2.22,2.97,2.48,2.18,2.11,1.97,2.21,2.29,Rafael Uribe Uribe,4.59028,-74.08473
WS10M_RANGE,2022,2.23,2.13,2.14,2.42,2.44,1.93,2.17,2.27,2.13,2.18,2.17,2.25,2.21,Rafael Uribe Uribe,4.59028,-74.08473
WS10M_RANGE,2023,2.25,2.58,2.01,2.3,2.55,2.91,2.81,2.39,2.26,1.79,1.91,2.52,2.35,Rafael Uribe Uribe,4.59028,-74.08473
WS10M_RANGE,2024,2.2,2.27,2.44,2.1,2.09,2.28,2.87,2.4,2.48,2.21,2.11,1.92,2.28,Rafael Uribe Uribe,4.59028,-74.08473
WS2M,2020,1.5,1.36,1.05,0.89,1.14,1.24,1.13,1.12,1.13,1.27,0.81,0.87,1.13,Rafael Uribe Uribe,4.59028,-74.08473
WS2M,2021,1.07,1.04,0.93,0.94,1.18,1.1,1.64,1.26,1.28,0.86,0.9,1.04,1.1,Rafael Uribe Uribe,4.59028,-74.08473
WS2M,2022,1.18,0.9,0.89,0.99,0.99,0.91,1.14,1.22,1.01,1.06,0.97,0.94,1.02,Rafael Uribe Uribe,4.59028,-74.08473
WS2M,2023,0.97,0.99,0.87,0.9,1.12,1.61,1.72,1.59,1.43,0.91,0.99,1.03,1.18,Rafael Uribe Uribe,4.59028,-74.08473
WS2M,2024,1.36,1.21,1.16,0.98,0.97,1.13,1.5,1.47,1.44,1.14,0.98,0.91,1.19,Rafael Uribe Uribe,4.59028,-74.08473
WS2M_MAX,2020,5.13,4.34,3.84,3.29,3.4,4.26,3.44,3.46,3.4,3.35,3.44,3.21,5.13,Rafael Uribe Uribe,4.59028,-74.08473
WS2M_MAX,2021,3.6,3.32,2.97,3.32,4.31,4.37,5.73,4.66,4.4,3.02,2.78,3.09,5.73,Rafael Uribe Uribe,4.59028,-74.08473
WS2M_MAX,2022,3.73,2.76,2.98,4.3,4.04,2.95,3.9,3.41,3.71,3.58,4.05,3.95,4.3,Rafael Uribe Uribe,4.59028,-74.08473
WS2M_MAX,2023,3.57,3.42,2.96,3.04,3.47,4.28,4.76,4.68,4.36,2.63,3.07,3.99,4.76,Rafael Uribe Uribe,4.59028,-74.08473
WS2M_MAX,2024,4.71,4.13,4.68,3.66,2.64,3.42,4.61,3.77,4.55,5.15,3.1,2.61,5.15,Rafael Uribe Uribe,4.59028,-74.08473
WS2M_MIN,2020,0.2,0.1,0.07,0.05,0.04,0.05,0.05,0.07,0.03,0.03,0.03,0.04,0.03,Rafael Uribe Uribe,4.59028,-74.08473
WS2M_MIN,2021,0.1,0.02,0.06,0.01,0.04,0.04,0.02,0.07,0.09,0.01,0.01,0.07,0.01,Rafael Uribe Uribe,4.59028,-74.08473
WS2M_MIN,2022,0.02,0.08,0.05,0.04,0.02,0.05,0.09,0.05,0.05,0.05,0.03,0.09,0.02,Rafael Uribe Uribe,4.59028,-74.08473
WS2M_MIN,2023,0.0,0.02,0.02,0.03,0.02,0.04,0.14,0.05,0.05,0.04,0.08,0.04,0.0,Rafael Uribe Uribe,4.59028,-74.08473
WS2M_MIN,2024,0.03,0.06,0.11,0.04,0.03,0.06,0.14,0.11,0.16,0.04,0.03,0.04,0.03,Rafael Uribe Uribe,4.59028,-74.08473
WS2M_RANGE,2020,2.02,1.87,1.94,1.5,1.66,1.89,1.71,1.68,1.72,1.75,1.52,1.62,1.74,Rafael Uribe Uribe,4.59028,-74.08473
WS2M_RANGE,2021,1.66,1.8,1.63,1.8,1.88,1.71,2.36,1.99,1.82,1.64,1.54,1.75,1.8,Rafael Uribe Uribe,4.59028,-74.08473
WS2M_RANGE,2022,1.79,1.61,1.67,1.84,1.83,1.45,1.68,1.8,1.62,1.71,1.7,1.76,1.71,Rafael Uribe Uribe,4.59028,-74.08473
WS2M_RANGE,2023,1.74,1.91,1.53,1.73,1.9,2.3,2.21,2.03,1.92,1.38,1.44,1.92,1.83,Rafael Uribe Uribe,4.59028,-74.08473
WS2M_RANGE,2024,1.84,1.86,1.97,1.64,1.55,1.71,2.26,1.99,1.99,1.73,1.64,1.49,1.81,Rafael Uribe Uribe,4.59028,-74.08473
ALLSKY_SFC_PAR_TOT,2020,8.89,9.07,7.76,7.91,7.73,7.96,7.92,7.89,8.79,8.28,7.67,8.24,8.17,Rafael Uribe Uribe,4.59028,-74.08473
ALLSKY_SFC_PAR_TOT,2021,8.59,7.81,7.16,7.97,8.43,8.12,8.05,8.04,8.66,8.46,8.54,7.99,8.15,Rafael Uribe Uribe,4.59028,-74.08473
ALLSKY_SFC_PAR_TOT,2022,8.32,7.47,7.74,7.55,7.9,7.34,7.7,8.32,8.27,8.46,7.72,8.57,7.95,Rafael Uribe Uribe,4.59028,-74.08473
ALLSKY_SFC_PAR_TOT,2023,7.99,8.71,7.14,7.39,8.29,8.36,8.12,8.56,8.69,8.41,7.88,7.7,8.1,Rafael Uribe Uribe,4.59028,-74.08473
ALLSKY_SFC_PAR_TOT,2024,9.4,8.34,7.67,8.06,7.52,7.77,8.23,8.49,8.38,9.06,7.48,7.58,8.17,Rafael Uribe Uribe,4.59028,-74.08473
ALLSKY_SFC_SW_DIFF,2020,7.59,8.0,8.35,8.64,8.87,8.75,8.57,8.11,8.64,8.64,8.51,8.02,8.39,Rafael Uribe Uribe,4.59028,-74.08473
ALLSKY_SFC_SW_DIFF,2021,7.93,8.46,8.34,8.89,8.82,8.61,8.53,8.84,8.6,8.66,7.94,8.02,8.47,Rafael Uribe Uribe,4.59028,-74.08473
ALLSKY_SFC_SW_DIFF,2022,8.2,8.15,8.3,8.61,8.48,8.09,8.0,8.18,8.86,8.76,8.07,7.9,8.3,Rafael Uribe Uribe,4.59028,-74.08473
ALLSKY_SFC_SW_DIFF,2023,7.65,8.21,7.84,8.79,8.96,8.72,8.44,8.5,8.48,8.88,8.32,7.65,8.37,Rafael Uribe Uribe,4.59028,-74.08473
ALLSKY_SFC_SW_DIFF,2024,7.26,8.06,8.48,8.52,8.04,8.53,8.52,8.18,8.56,8.86,7.86,7.31,8.18,Rafael Uribe Uribe,4.59028,-74.08473
ALLSKY_SFC_SW_DNI,2020,15.18,13.87,7.72,7.69,6.34,7.69,7.89,8.93,11.16,9.97,8.18,12.64,9.76,Rafael Uribe Uribe,4.59028,-74.08473
ALLSKY_SFC_SW_DNI,2021,13.75,8.99,5.83,7.22,8.36,8.49,8.86,7.9,10.36,9.85,12.14,11.07,9.4,Rafael Uribe Uribe,4.59028,-74.08473
ALLSKY_SFC_SW_DNI,2022,11.89,7.41,7.42,6.2,7.79,6.77,8.63,10.07,8.38,8.71,8.83,13.25,8.8,Rafael Uribe Uribe,4.59028,-74.08473
ALLSKY_SFC_SW_DNI,2023,11.41,12.21,6.18,5.49,8.12,9.37,8.88,10.61,11.42,8.82,9.26,10.55,9.34,Rafael Uribe Uribe,4.59028,-74.08473
ALLSKY_SFC_SW_DNI,2024,17.82,11.15,7.31,7.69,7.05,7.36,9.39,10.95,9.75,11.14,8.58,11.02,9.94,Rafael Uribe Uribe,4.59028,-74.08473
ALLSKY_SFC_SW_DWN,2020,18.92,19.35,16.7,16.62,15.69,16.38,16.31,16.61,18.56,17.48,16.16,17.48,17.18,Rafael Uribe Uribe,4.59028,-74.08473
ALLSKY_SFC_SW_DWN,2021,18.36,16.48,14.88,16.59,17.28,16.74,16.75,16.76,17.97,17.65,17.76,16.65,16.99,Rafael Uribe Uribe,4.59028,-74.08473
ALLSKY_SFC_SW_DWN,2022,17.56,15.44,16.11,15.56,16.06,14.98,15.89,17.43,17.06,17.23,15.83,17.96,16.44,Rafael Uribe Uribe,4.59028,-74.08473
ALLSKY_SFC_SW_DWN,2023,16.91,18.54,14.8,15.3,17.05,17.28,16.65,18.1,18.28,17.62,16.36,16.01,16.9,Rafael Uribe Uribe,4.59028,-74.08473
ALLSKY_SFC_SW_DWN,2024,20.35,17.62,16.33,16.77,15.32,15.89,17.08,18.0,17.85,18.86,15.36,15.82,17.11,Rafael Uribe Uribe,4.59028,-74.08473
ALLSKY_SFC_UVA,2020,1.29,1.29,1.06,1.13,1.23,1.23,1.22,1.14,1.25,1.18,1.12,1.21,1.2,Rafael Uribe Uribe,4.59028,-74.08473
ALLSKY_SFC_UVA,2021,1.25,1.14,1.04,1.16,1.33,1.28,1.24,1.2,1.32,1.24,1.32,1.19,1.23,Rafael Uribe Uribe,4.59028,-74.08473
ALLSKY_SFC_UVA,2022,1.26,1.13,1.12,1.11,1.25,1.14,1.17,1.22,1.22,1.37,1.2,1.3,1.21,Rafael Uribe Uribe,4.59028,-74.08473
ALLSKY_SFC_UVA,2023,1.19,1.23,1.01,1.04,1.23,1.28,1.25,1.23,1.23,1.19,1.16,1.13,1.18,Rafael Uribe Uribe,4.59028,-74.08473
ALLSKY_SFC_UVA,2024,1.32,1.17,1.03,1.16,1.14,1.21,1.23,1.19,1.17,1.37,1.12,1.09,1.18,Rafael Uribe Uribe,4.59028,-74.08473
ALLSKY_SFC_UVB,2020,0.04,0.04,0.03,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.04,0.04,Rafael Uribe Uribe,4.59028,-74.08473
ALLSKY_SFC_UVB,2021,0.04,0.04,0.03,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,Rafael Uribe Uribe,4.59028,-74.08473
ALLSKY_SFC_UVB,2022,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,Rafael Uribe Uribe,4.59028,-74.08473
ALLSKY_SFC_UVB,2023,0.04,0.04,0.03,0.03,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,Rafael Uribe Uribe,4.59028,-74.08473
ALLSKY_SFC_UVB,2024,0.04,0.04,0.03,0.04,0.04,0.04,0.04,0.04,0.03,0.04,0.03,0.03,0.04,Rafael Uribe Uribe,4.59028,-74.08473
ALLSKY_SFC_UV_INDEX,2020,2.49,2.54,2.08,2.21,2.37,2.32,2.3,2.19,2.46,2.22,2.08,2.33,2.3,Rafael Uribe Uribe,4.59028,-74.08473
ALLSKY_SFC_UV_INDEX,2021,2.58,2.42,2.09,2.3,2.6,2.42,2.35,2.38,2.56,2.36,2.54,2.3,2.41,Rafael Uribe Uribe,4.59028,-74.08473
ALLSKY_SFC_UV_INDEX,2022,2.45,2.23,2.28,2.39,2.54,2.12,2.14,2.2,2.18,2.49,2.12,2.3,2.29,Rafael Uribe Uribe,4.59028,-74.08473
ALLSKY_SFC_UV_INDEX,2023,2.13,2.3,1.94,1.94,2.32,2.36,2.34,2.29,2.26,2.2,2.2,2.26,2.21,Rafael Uribe Uribe,4.59028,-74.08473
ALLSKY_SFC_UV_INDEX,2024,2.59,2.43,2.1,2.4,2.23,2.25,2.21,2.09,2.06,2.47,1.99,1.91,2.23,Rafael Uribe Uribe,4.59028,-74.08473
ALLSKY_SRF_ALB,2020,0.15,0.15,0.12,0.14,0.17,0.16,0.17,0.14,0.16,0.15,0.15,0.17,0.15,Rafael Uribe Uribe,4.59028,-74.08473
ALLSKY_SRF_ALB,2021,0.17,0.15,0.16,0.15,0.17,0.17,0.16,0.16,0.16,0.16,0.17,0.17,0.16,Rafael Uribe Uribe,4.59028,-74.08473
ALLSKY_SRF_ALB,2022,0.17,0.16,0.14,0.13,0.15,0.13,0.12,0.15,0.16,0.18,0.16,0.16,0.15,Rafael Uribe Uribe,4.59028,-74.08473
ALLSKY_SRF_ALB,2023,0.15,0.14,0.14,0.14,0.16,0.15,0.16,0.14,0.14,0.16,0.15,0.13,0.15,Rafael Uribe Uribe,4.59028,-74.08473
ALLSKY_SRF_ALB,2024,0.14,0.14,0.12,0.14,0.11,0.16,0.15,0.14,0.13,0.17,0.14,0.12,0.14,Rafael Uribe Uribe,4.59028,-74.08473
